admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,Adasen,Agta,Agta-Dumagat,Agusan Manobo,Agutaynen,Akeanon,Alangan,Ata,Ata-Manobo,Ayangan Ifugao,Ayta language group,Bagobo/Tagabawa,Balangao,Baliwon/Ga'dang,Banao,Bantoanon,Belwang (N.Bontok dialect),Bikol,Binongan,Binukid,Bisaya/Binisaya,B'laan/Blaan language group,Bontok,Bugkalot/Ilongot,Buhid,Cagayanen,Capizeño,Cebuano,Chavacano,Cuyonon/Cuyonen,Davaweño,Dibabawon,Dumagat/Remontado,English,Gaddang,Giangan,Hanunuo,Higaonon,Hiligaynon Ilonggo,Ibaloi/Ibaloy,Ibanag,Ibatan,Ilianen Manobo,Ilocano,Iranun,Iraya,Isinai,Isnag,Itawis,Ivatan,Iwak/Iowak/Owak/I-wak,Jama Mapun,Kalagan,Kalanguya,Kalibugan/Kolibugan,Kalinga language group,Kamiguin,Kankanaey,Kapampangan,Karao,Karay-a,Kirenteken,Mabaka,Maeng,Maguindanao,Majokayong,Mamanwa,Mandaya,Manobo,Manobo-Cotabato,Mansaka,Maranao,Masadiit,Masbateño/Masbatenon,Matigsalog/Matigsalug,Molbog,Muyadan,Obo Manobo,Unspecified Sama language,Palawani,Palawano language group,Pangasinan/Panggalato,Paranan,Romblomanon,Sama Bangingi,Sama Laut,Sangil,Subanen/Subanon/Subanun,Surigaonon,Tadyawan,Tagakaulo,Tagalog,Tagbanua,Tagbanua Calamian,Tau-buid,Tausug,Tboli,Teduray,Tuwali,Waray,Yakan,Yogad,Zambal,Other languages,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
PH083700000,Leyte,Eastern Visayas (Region VIII),PH080000000,Philippines (the),PH,5,Waray,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446,0,0,0,0,0,0,0.059,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.489,0,0,0,0.001,1966768,1011570,955198,0.971,0.966,0.977,Y,High,
PH084800000,Northern Samar,Eastern Visayas (Region VIII),PH080000000,Philippines (the),PH,4,Waray,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.933,0,0,0,0.021,632379,324977,307402,0.955,0.946,0.964,Y,High,
PH086000000,Samar,Eastern Visayas (Region VIII),PH080000000,Philippines (the),PH,4,Waray,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.93,0,0,0,0,780481,403463,377018,0.941,0.927,0.956,Y,High,
PH086400000,Southern Leyte,Eastern Visayas (Region VIII),PH080000000,Philippines (the),PH,4,Bisaya/Binisaya,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,421750,215172,206578,0.983,0.98,0.986,Y,High,
PH087800000,Biliran,Eastern Visayas (Region VIII),PH080000000,Philippines (the),PH,6,Bisaya/Binisaya,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.044,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.38,0,0,0,0,171612,87622,83990,0.964,0.957,0.97,Y,High,
PH097200000,Zamboanga del Norte,Zamboanga Peninsula (Region IX),PH090000000,Philippines (the),PH,14,Bisaya/Binisaya,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.063,0.005,0,0,0,0,0.001,0,0,0,0,0.003,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.01,0,0,0,0,0,0.003,0,0,0.102,0,0,0,0.001,0,0,0,0.013,0,0,0,0,0,0,0,0.001,1011393,519579,491814,0.941,0.94,0.942,Y,High,
PH097300000,Zamboanga del Sur,Zamboanga Peninsula (Region IX),PH090000000,Philippines (the),PH,14,Bisaya/Binisaya,0.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,0,0,0,0,0,0.135,0.202,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.018,0,0,0,0,0,0.013,0,0,0.049,0,0,0,0.019,0,0,0,0.088,0,0,0,0,0.015,0,0,0.003,1872473,949415,923058,0.948,0.948,0.947,Y,High,
PH098300000,Zamboanga Sibugay,Zamboanga Peninsula (Region IX),PH090000000,Philippines (the),PH,15,Bisaya/Binisaya,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,0,0,0,0,0,0,0.112,0.023,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0.004,0.001,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.009,0,0,0,0,0,0.01,0,0,0.052,0,0,0,0.002,0,0,0,0.073,0,0,0,0,0.001,0,0,0.001,633129,326285,306844,0.953,0.955,0.952,Y,High,
PH099700000,City of Isabela,Zamboanga Peninsula (Region IX),PH090000000,Philippines (the),PH,13,Tausug,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,0.004,0.288,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.025,0,0,0,0,0,0.054,0.001,0,0,0,0,0,0.009,0,0,0,0.303,0,0,0,0,0.12,0,0,0.04,112788,55599,57189,0.898,0.904,0.893,Y,High,
PH101300000,Bukidnon,Northern Mindanao (Region X),PH100000000,Philippines (the),PH,14,Bisaya/Binisaya,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.484,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0.028,0.065,0,0,0,0,0.011,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0.019,0,0,0.004,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0.007,1415226,736548,678678,0.953,0.949,0.958,Y,High,
